map_name,current_x,current_y,goal_x,goal_y,delta_goal_x,delta_goal_y,path_remaining,vision_mean,vision_dark,vision_edge,free_up,free_down,free_left,free_right,teacher_action
synthetic_map_00000,0.26666666666666666,0.6,0.13333333333333333,0.4666666666666667,-0.13333333333333333,-0.13333333333333333,0.15625,0.7642220712845887,0.25463593007217794,0.36669720551415064,1.0,0.0,1.0,1.0,0
synthetic_map_00000,0.26666666666666666,0.5333333333333333,0.13333333333333333,0.4666666666666667,-0.13333333333333333,-0.06666666666666667,0.125,0.9128150064950721,0.06611857804990168,0.28513889330739406,1.0,1.0,0.0,1.0,0
synthetic_map_00000,0.26666666666666666,0.4666666666666667,0.13333333333333333,0.4666666666666667,-0.13333333333333333,0.0,0.09375,0.6838894157157357,0.30239712344605985,0.5122935836866515,1.0,1.0,1.0,1.0,2
synthetic_map_00000,0.2,0.4666666666666667,0.13333333333333333,0.4666666666666667,-0.06666666666666667,0.0,0.0625,0.6934394288413573,0.3349842289179119,0.48026659486748424,0.0,0.0,1.0,1.0,2
synthetic_map_00001,0.8666666666666667,1.0,0.13333333333333333,0.6666666666666666,-0.7333333333333333,-0.3333333333333333,0.53125,0.36214494985436874,0.6351876819116132,0.6544538847185162,1.0,0.0,0.0,0.0,0
synthetic_map_00001,0.8666666666666667,0.9333333333333333,0.13333333333333333,0.6666666666666666,-0.7333333333333333,-0.26666666666666666,0.5,0.5501918751452439,0.4217465487585539,0.4986161088177814,1.0,1.0,0.0,1.0,0
synthetic_map_00001,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.6666666666666666,-0.7333333333333333,-0.2,0.46875,0.5162437153166562,0.46403090361399435,0.513698873767365,1.0,1.0,1.0,0.0,2
synthetic_map_00001,0.7333333333333333,0.8666666666666667,0.13333333333333333,0.6666666666666666,-0.6,-0.2,0.40625,0.5638933136366335,0.4245473382157714,0.6049512649930577,1.0,1.0,1.0,1.0,2
synthetic_map_00001,0.6,0.8666666666666667,0.13333333333333333,0.6666666666666666,-0.4666666666666667,-0.2,0.34375,0.7150827183072862,0.30145336721006244,0.4333112663452747,0.0,1.0,1.0,1.0,2
synthetic_map_00001,0.5333333333333333,0.8666666666666667,0.13333333333333333,0.6666666666666666,-0.4,-0.2,0.3125,0.8797285732974472,0.11911145259446881,0.2239639808075078,1.0,1.0,1.0,1.0,2
synthetic_map_00001,0.4666666666666667,0.8666666666666667,0.13333333333333333,0.6666666666666666,-0.3333333333333333,-0.2,0.28125,0.9033249989993619,0.08422668934665531,0.28759044806968825,1.0,1.0,1.0,1.0,2
