map_name,current_x,current_y,goal_x,goal_y,delta_goal_x,delta_goal_y,path_remaining,vision_mean,vision_dark,vision_edge,free_up,free_down,free_left,free_right,teacher_action
synthetic_map_00000,0.13333333333333333,0.0,0.6,0.2,0.4666666666666667,0.2,0.34375,0.3795310172024041,0.5938783369993721,0.5950534254302255,0.0,1.0,0.0,0.0,1
synthetic_map_00000,0.13333333333333333,0.06666666666666667,0.6,0.2,0.4666666666666667,0.13333333333333333,0.3125,0.4660892713724992,0.5097754450266849,0.6367925927447696,1.0,0.0,1.0,1.0,3
synthetic_map_00000,0.2,0.06666666666666667,0.6,0.2,0.4,0.13333333333333333,0.28125,0.7375208155220992,0.28611990915735047,0.3968056807238838,0.0,0.0,1.0,1.0,3
synthetic_map_00000,0.26666666666666666,0.06666666666666667,0.6,0.2,0.3333333333333333,0.13333333333333333,0.25,0.7125069180310797,0.3158946970695216,0.4836486957615552,1.0,1.0,1.0,0.0,1
synthetic_map_00000,0.26666666666666666,0.13333333333333333,0.6,0.2,0.3333333333333333,0.06666666666666667,0.21875,0.6833574781656339,0.30327365425184194,0.4679716513951048,1.0,1.0,0.0,1.0,3
synthetic_map_00000,0.3333333333333333,0.13333333333333333,0.6,0.2,0.26666666666666666,0.06666666666666667,0.1875,0.7475066750564325,0.2529584365008876,0.33740270565522523,0.0,1.0,1.0,1.0,3
synthetic_map_00000,0.4,0.13333333333333333,0.6,0.2,0.2,0.06666666666666667,0.15625,0.7980154111318253,0.22454318750971053,0.4462272657733931,1.0,0.0,1.0,1.0,3
synthetic_map_00000,0.4666666666666667,0.13333333333333333,0.6,0.2,0.13333333333333333,0.06666666666666667,0.125,0.6479535418300181,0.37561175467534397,0.4190808310190834,1.0,1.0,1.0,1.0,3
synthetic_map_00000,0.5333333333333333,0.13333333333333333,0.6,0.2,0.06666666666666667,0.06666666666666667,0.09375,0.6669120678820998,0.3280861555068203,0.44944496724063326,0.0,0.0,1.0,1.0,3
synthetic_map_00000,0.6,0.13333333333333333,0.6,0.2,0.0,0.06666666666666667,0.0625,0.6953380140700716,0.3149313127541637,0.4552008550244023,0.0,1.0,1.0,1.0,1
synthetic_map_00001,0.26666666666666666,0.26666666666666666,0.4,1.0,0.13333333333333333,0.7333333333333333,0.625,0.729190513368681,0.2576477489069446,0.30603658047147375,1.0,1.0,1.0,1.0,1
synthetic_map_00001,0.26666666666666666,0.3333333333333333,0.4,1.0,0.13333333333333333,0.6666666666666666,0.59375,0.7696777696147211,0.23842004020765495,0.3216040791728659,1.0,1.0,1.0,0.0,2
synthetic_map_00001,0.13333333333333333,0.4,0.4,1.0,0.26666666666666666,0.6,0.5,0.50462614050902,0.4915483041266229,0.5260517751784645,1.0,0.0,1.0,0.0,2
synthetic_map_00001,0.06666666666666667,0.4,0.4,1.0,0.3333333333333333,0.6,0.46875,0.54534575212359,0.4717628083593434,0.5439951773429446,0.0,1.0,0.0,1.0,1
synthetic_map_00001,0.06666666666666667,0.4666666666666667,0.4,1.0,0.3333333333333333,0.5333333333333333,0.4375,0.7294648575037037,0.28623446485298043,0.450673332508513,1.0,1.0,1.0,0.0,1
synthetic_map_00001,0.06666666666666667,0.6,0.4,1.0,0.3333333333333333,0.4,0.375,0.7434543192469029,0.2597948593783953,0.33032750798280414,1.0,1.0,1.0,1.0,3
synthetic_map_00001,0.13333333333333333,0.6,0.4,1.0,0.26666666666666666,0.4,0.34375,0.8457280092031939,0.18027991192583276,0.3635195402380816,0.0,0.0,1.0,1.0,3
synthetic_map_00001,0.2,0.6666666666666666,0.4,1.0,0.2,0.3333333333333333,0.28125,0.7446007225336497,0.23371362949195934,0.43689439317595624,1.0,1.0,0.0,1.0,3
synthetic_map_00001,0.26666666666666666,0.6666666666666666,0.4,1.0,0.13333333333333333,0.3333333333333333,0.25,0.9150456954674426,0.1096686191393925,0.2969062001368472,1.0,0.0,1.0,1.0,3
synthetic_map_00001,0.3333333333333333,0.6666666666666666,0.4,1.0,0.06666666666666667,0.3333333333333333,0.21875,0.9167046076395546,0.07818739143093896,0.25396825521256483,1.0,1.0,1.0,1.0,1
synthetic_map_00001,0.3333333333333333,0.7333333333333333,0.4,1.0,0.06666666666666667,0.26666666666666666,0.1875,0.8165282166518029,0.19779650011421013,0.4022286297667717,1.0,1.0,0.0,1.0,1
synthetic_map_00001,0.3333333333333333,0.9333333333333333,0.4,1.0,0.06666666666666667,0.06666666666666667,0.09375,0.882587863829447,0.10173203762239531,0.2861980128309323,1.0,1.0,1.0,0.0,1
synthetic_map_00002,0.8,0.6,0.06666666666666667,0.5333333333333333,-0.7333333333333333,-0.06666666666666667,0.46875,0.6728623404652261,0.3436375520576647,0.49302756223563604,1.0,0.0,1.0,0.0,2
synthetic_map_00002,0.7333333333333333,0.6,0.06666666666666667,0.5333333333333333,-0.6666666666666666,-0.06666666666666667,0.4375,0.9465023743830765,0.0617450632115222,0.32244186528252655,1.0,1.0,1.0,1.0,2
synthetic_map_00002,0.6666666666666666,0.6,0.06666666666666667,0.5333333333333333,-0.6,-0.06666666666666667,0.40625,0.8761661969979785,0.09608107366154664,0.2632915384600329,1.0,1.0,1.0,1.0,2
synthetic_map_00002,0.6,0.6,0.06666666666666667,0.5333333333333333,-0.5333333333333333,-0.06666666666666667,0.375,0.8533535504126505,0.17663887514304683,0.3038955372432616,0.0,1.0,1.0,1.0,2
synthetic_map_00002,0.5333333333333333,0.6,0.06666666666666667,0.5333333333333333,-0.4666666666666667,-0.06666666666666667,0.34375,0.6682811310915319,0.3565561781214993,0.517025661879436,0.0,1.0,1.0,1.0,2
synthetic_map_00002,0.3333333333333333,0.6,0.06666666666666667,0.5333333333333333,-0.26666666666666666,-0.06666666666666667,0.25,0.6293230496444374,0.3652166441037624,0.44615614595231823,1.0,1.0,0.0,1.0,0
synthetic_map_00002,0.3333333333333333,0.5333333333333333,0.06666666666666667,0.5333333333333333,-0.26666666666666666,0.0,0.21875,0.6292413733476269,0.34543471260284064,0.3917013205630952,1.0,1.0,1.0,0.0,2
synthetic_map_00002,0.26666666666666666,0.5333333333333333,0.06666666666666667,0.5333333333333333,-0.2,0.0,0.1875,0.6661145653003836,0.33289585651063286,0.45197387389507426,0.0,0.0,1.0,1.0,2
synthetic_map_00002,0.2,0.5333333333333333,0.06666666666666667,0.5333333333333333,-0.13333333333333333,0.0,0.15625,0.42470164335544514,0.5851399427948454,0.5891727910773804,1.0,0.0,0.0,1.0,0
synthetic_map_00002,0.2,0.4666666666666667,0.06666666666666667,0.5333333333333333,-0.13333333333333333,0.06666666666666667,0.125,0.7835615624705577,0.22562193860778984,0.36142131875073286,1.0,1.0,1.0,0.0,2
synthetic_map_00002,0.13333333333333333,0.4666666666666667,0.06666666666666667,0.5333333333333333,-0.06666666666666667,0.06666666666666667,0.09375,0.8299554149675474,0.19933890937832494,0.40462752842484073,1.0,0.0,1.0,1.0,2
synthetic_map_00002,0.06666666666666667,0.4666666666666667,0.06666666666666667,0.5333333333333333,0.0,0.06666666666666667,0.0625,0.536852658300603,0.436228982738215,0.5948095659545635,0.0,1.0,0.0,1.0,1
synthetic_map_00003,0.5333333333333333,0.3333333333333333,0.7333333333333333,1.0,0.2,0.6666666666666666,0.5,0.7450988519483192,0.2252840507592231,0.3020204607559477,1.0,0.0,1.0,1.0,2
synthetic_map_00003,0.4666666666666667,0.4,0.7333333333333333,1.0,0.26666666666666666,0.6,0.4375,0.8273489434485823,0.15668076546006815,0.35045028180145654,1.0,1.0,1.0,0.0,1
synthetic_map_00003,0.4666666666666667,0.4666666666666667,0.7333333333333333,1.0,0.26666666666666666,0.5333333333333333,0.40625,0.7423513217149894,0.25114246159027803,0.3914309453567162,1.0,1.0,1.0,1.0,1
synthetic_map_00003,0.4666666666666667,0.5333333333333333,0.7333333333333333,1.0,0.26666666666666666,0.4666666666666667,0.375,0.6404389726439869,0.33985379083265094,0.39193284435300335,1.0,1.0,1.0,0.0,1
synthetic_map_00003,0.4666666666666667,0.6,0.7333333333333333,1.0,0.26666666666666666,0.4,0.34375,0.7127955120682897,0.29452263770501685,0.41255646667265533,1.0,1.0,0.0,0.0,1
synthetic_map_00003,0.4666666666666667,0.6666666666666666,0.7333333333333333,1.0,0.26666666666666666,0.3333333333333333,0.3125,0.6309702481394495,0.38107414082326607,0.39160584494469497,1.0,1.0,1.0,1.0,1
synthetic_map_00003,0.4666666666666667,0.7333333333333333,0.7333333333333333,1.0,0.26666666666666666,0.26666666666666666,0.28125,0.9336613535872197,0.07495133026057041,0.21571230070764086,1.0,1.0,1.0,0.0,1
synthetic_map_00003,0.4666666666666667,0.8,0.7333333333333333,1.0,0.26666666666666666,0.2,0.25,0.9049074639482685,0.06789388032680313,0.3459285653053728,1.0,1.0,1.0,1.0,1
synthetic_map_00003,0.4666666666666667,0.8666666666666667,0.7333333333333333,1.0,0.26666666666666666,0.13333333333333333,0.21875,0.7335596452276059,0.24839908640174857,0.4505089398723271,1.0,1.0,1.0,1.0,3
synthetic_map_00003,0.5333333333333333,0.8666666666666667,0.7333333333333333,1.0,0.2,0.13333333333333333,0.1875,0.8953492811764776,0.1145005261750289,0.34964322604207604,1.0,0.0,1.0,1.0,3
synthetic_map_00003,0.6666666666666666,0.9333333333333333,0.7333333333333333,1.0,0.06666666666666667,0.06666666666666667,0.09375,0.8759864197397961,0.1366883678758872,0.2703037161249642,1.0,0.0,1.0,1.0,3
synthetic_map_00003,0.7333333333333333,0.9333333333333333,0.7333333333333333,1.0,0.0,0.06666666666666667,0.0625,0.6741985534092724,0.30799107318549607,0.39208436652154943,1.0,1.0,1.0,0.0,1
synthetic_map_00004,0.13333333333333333,0.6,0.6666666666666666,0.4,0.5333333333333333,-0.2,0.375,0.6500065543942287,0.3327794919605995,0.39924507150083216,0.0,1.0,1.0,1.0,3
synthetic_map_00004,0.2,0.6,0.6666666666666666,0.4,0.4666666666666667,-0.2,0.34375,0.6430124536338125,0.3672612571010387,0.4053835664849247,1.0,1.0,1.0,0.0,0
synthetic_map_00004,0.2,0.5333333333333333,0.6666666666666666,0.4,0.4666666666666667,-0.13333333333333333,0.3125,0.6999666978488449,0.2951755910598941,0.518995286789741,0.0,1.0,0.0,1.0,3
synthetic_map_00004,0.26666666666666666,0.5333333333333333,0.6666666666666666,0.4,0.4,-0.13333333333333333,0.28125,0.7838857821853594,0.21954640244756227,0.37527707857606774,1.0,0.0,1.0,1.0,0
synthetic_map_00004,0.26666666666666666,0.4666666666666667,0.6666666666666666,0.4,0.4,-0.06666666666666667,0.25,0.86036785264426,0.15165744500853845,0.24833954685046689,1.0,1.0,0.0,1.0,3
synthetic_map_00004,0.3333333333333333,0.4666666666666667,0.6666666666666666,0.4,0.3333333333333333,-0.06666666666666667,0.21875,0.928403347648155,0.07757274987431734,0.32642314845448883,1.0,1.0,1.0,1.0,3
synthetic_map_00004,0.4,0.4666666666666667,0.6666666666666666,0.4,0.26666666666666666,-0.06666666666666667,0.1875,0.9120941888921855,0.07714685181502728,0.32023057819248846,0.0,1.0,1.0,1.0,3
synthetic_map_00004,0.4666666666666667,0.4666666666666667,0.6666666666666666,0.4,0.2,-0.06666666666666667,0.15625,0.7658261740664104,0.2219828720711755,0.3722996726797184,1.0,1.0,1.0,0.0,0
synthetic_map_00004,0.4666666666666667,0.4,0.6666666666666666,0.4,0.2,0.0,0.125,0.704082277186874,0.32591474733165166,0.4948180978402253,1.0,1.0,0.0,1.0,3
synthetic_map_00004,0.5333333333333333,0.4,0.6666666666666666,0.4,0.13333333333333333,0.0,0.09375,0.8013483941308088,0.19027411968620023,0.40122122516324327,0.0,0.0,1.0,1.0,3
synthetic_map_00004,0.6,0.4,0.6666666666666666,0.4,0.06666666666666667,0.0,0.0625,0.7984740179941802,0.17427819921631596,0.41562438585803735,1.0,1.0,1.0,1.0,3
synthetic_map_00005,0.26666666666666666,0.3333333333333333,0.4,0.8666666666666667,0.13333333333333333,0.5333333333333333,0.34375,0.6981552311452628,0.2871965003076049,0.4429884140403391,1.0,0.0,1.0,1.0,3
synthetic_map_00005,0.3333333333333333,0.3333333333333333,0.4,0.8666666666666667,0.06666666666666667,0.5333333333333333,0.3125,0.6506655502298251,0.3736087860312325,0.52062153131061,0.0,1.0,1.0,1.0,1
synthetic_map_00005,0.3333333333333333,0.4,0.4,0.8666666666666667,0.06666666666666667,0.4666666666666667,0.28125,0.840255946123838,0.17692644822275713,0.4113151009422058,1.0,1.0,0.0,1.0,1
synthetic_map_00005,0.3333333333333333,0.4666666666666667,0.4,0.8666666666666667,0.06666666666666667,0.4,0.25,0.6811235626501877,0.34800199898206924,0.3955895166807057,1.0,1.0,1.0,0.0,1
synthetic_map_00005,0.3333333333333333,0.5333333333333333,0.4,0.8666666666666667,0.06666666666666667,0.3333333333333333,0.21875,0.8285950660020159,0.1867019788141998,0.44807866703014443,1.0,1.0,1.0,0.0,1
synthetic_map_00005,0.3333333333333333,0.6,0.4,0.8666666666666667,0.06666666666666667,0.26666666666666666,0.1875,0.8591275360560113,0.12880002829217332,0.30352334247317864,1.0,1.0,1.0,1.0,1
synthetic_map_00005,0.3333333333333333,0.6666666666666666,0.4,0.8666666666666667,0.06666666666666667,0.2,0.15625,0.9505354163273572,0.025789779910829244,0.17182694598637582,1.0,1.0,1.0,1.0,1
synthetic_map_00005,0.3333333333333333,0.7333333333333333,0.4,0.8666666666666667,0.06666666666666667,0.13333333333333333,0.125,0.9774486139602884,0.0,0.19701010272460706,1.0,1.0,1.0,1.0,1
synthetic_map_00005,0.3333333333333333,0.8,0.4,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.09375,0.9843074477348718,0.0,0.14290388931548414,1.0,1.0,1.0,1.0,1
synthetic_map_00005,0.3333333333333333,0.8666666666666667,0.4,0.8666666666666667,0.06666666666666667,0.0,0.0625,0.9529925741170117,0.01776426948023571,0.23475627411912303,1.0,1.0,1.0,1.0,3
synthetic_map_00006,0.26666666666666666,0.6666666666666666,0.6666666666666666,0.9333333333333333,0.4,0.26666666666666666,0.34375,0.7961971680050186,0.21389740043490643,0.3202301330140028,0.0,1.0,1.0,1.0,1
synthetic_map_00006,0.26666666666666666,0.7333333333333333,0.6666666666666666,0.9333333333333333,0.4,0.2,0.3125,0.8141739160686144,0.1924714761928278,0.34205737437019645,1.0,0.0,0.0,1.0,3
synthetic_map_00006,0.3333333333333333,0.7333333333333333,0.6666666666666666,0.9333333333333333,0.3333333333333333,0.2,0.28125,0.8306953694199044,0.14500773504872433,0.34589095376458573,1.0,1.0,1.0,1.0,1
synthetic_map_00006,0.3333333333333333,0.8,0.6666666666666666,0.9333333333333333,0.3333333333333333,0.13333333333333333,0.25,0.8764211146805883,0.15331485021753838,0.25187811282800043,1.0,1.0,0.0,1.0,1
