map_path,current_x,current_y,goal_x,goal_y,robot_dir_x,robot_dir_y,distance_to_goal,vision_mean,vision_dark,vision_edge,front_clear,left_clear,right_clear,min_range,teacher_action
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,-0.8320502943378437,-0.5547001962252291,3.605551275463989,0.47319828784493667,0.3616456980842006,0.14466247399945364,0.0,1.0,0.0,1.0,3
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,-0.9809888119837851,-0.19406429543489445,3.605551275463989,0.4438481376598232,0.3835002581364658,0.14593191880127754,0.0,1.0,0.0,1.0,3
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,-0.9805806756909201,0.19611613513818393,3.605551275463989,0.4497985051079734,0.38658956142403045,0.13466600170734475,0.0,1.0,0.0,1.0,3
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,-0.830888020510073,0.556439661933666,3.605551275463989,0.4466049945721183,0.37607450959705946,0.1381392156917499,0.0,1.0,0.0,1.0,1
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,-0.5547001962252291,0.8320502943378437,3.605551275463989,0.4794950069693354,0.39683725544826587,0.11628628646386505,0.0,1.0,0.0,1.0,1
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,-0.19406429543489445,0.9809888119837851,3.605551275463989,0.46237430953065595,0.3599901850120142,0.13025076206675928,0.0,1.0,0.0,1.0,1
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,0.19611613513818393,0.9805806756909201,3.605551275463989,0.5172397162463169,0.38875904076148804,0.14096837868942044,0.0,1.0,0.0,1.0,1
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,0.556439661933666,0.830888020510073,3.605551275463989,0.4740265209215452,0.398099046348799,0.11406677750317915,0.0,1.0,0.0,1.0,2
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,0.8320502943378436,0.5547001962252293,3.605551275463989,0.4666275796522459,0.3937874934086556,0.1390282540896522,0.0,1.0,0.0,1.0,2
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,0.9809888119837851,0.19406429543489462,3.605551275463989,0.47707376493388975,0.3585960763172915,0.12066934284906962,0.0,1.0,0.0,1.0,2
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,0.9805806756909203,-0.19611613513818388,3.605551275463989,0.4601245437442519,0.37020439823840745,0.1423804280290588,0.0,1.0,0.0,1.0,2
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,0.8308880205100733,-0.5564396619336656,3.605551275463989,0.459291991020521,0.4065173171980899,0.14517492753600708,0.0,1.0,0.0,1.0,0
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,0.5547001962252293,-0.8320502943378436,3.605551275463989,0.4477164818222201,0.37606231747131835,0.1296684694704839,0.0,1.0,0.0,1.0,0
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,0.19406429543489423,-0.9809888119837852,3.605551275463989,0.44521198604706924,0.3788168544384888,0.14625642503819813,0.0,1.0,0.0,1.0,0
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,-0.19611613513818388,-0.9805806756909202,3.605551275463989,0.45229703503688923,0.38914407183899835,0.11484929763208722,0.0,1.0,0.0,1.0,0
maps/unseen/unseen_map_01.csv,1.0,0.0,-2.0,-2.0,-0.5564396619336656,-0.8308880205100734,3.605551275463989,0.48962935717761735,0.40705154029874835,0.11812212775058052,0.0,1.0,0.0,1.0,3
