timestamp,map_path,start_id,target_id,path_length,vision_mean,vision_dark,vision_edge,teacher_next_node
0.0,synthetic_map_00000,83,87,12,0.4581056562241639,0.5534177499065547,0.6470579674784159,95
0.0,synthetic_map_00000,95,87,11,0.5010442006003293,0.5260770562257097,0.6223248378858862,94
0.0,synthetic_map_00000,94,87,10,0.6725086550462145,0.3523400919212692,0.5079695401924167,93
0.0,synthetic_map_00000,92,87,8,0.8065438335848719,0.2020311912568502,0.31233946631561,91
0.0,synthetic_map_00000,91,87,7,0.6332257186563596,0.36787809277160605,0.531988033652753,90
0.0,synthetic_map_00000,89,87,5,0.44224239282546424,0.5411251725378501,0.6510951840892758,77
0.0,synthetic_map_00000,76,87,3,0.89680570208674,0.11138081343364259,0.30700540453905545,75
0.0,synthetic_map_00000,75,87,2,0.8755483079237955,0.13995103752152244,0.24011225372615225,87
0.0,synthetic_map_00001,14,129,21,0.9131747244082017,0.09426090002531017,0.2908508544030418,26
0.0,synthetic_map_00001,73,129,15,0.6282314709445264,0.4008735237035196,0.6016936445311685,74
0.0,synthetic_map_00001,64,129,11,0.4846727353472181,0.49161404030915185,0.5180458391305187,65
0.0,synthetic_map_00001,65,129,10,0.7294476934793335,0.2872921523247401,0.42993804227007615,66
0.0,synthetic_map_00001,79,129,7,0.9212685838349808,0.07406666704167883,0.35471509947826635,91
0.0,synthetic_map_00001,103,129,5,0.8425075317983912,0.14300900908923928,0.23278776047354144,115
0.0,synthetic_map_00001,127,129,3,0.7400963224501959,0.26413937307339935,0.4098445692252366,128
0.0,synthetic_map_00001,128,129,2,0.9033942588506649,0.07005733189579187,0.31900178030465665,129
0.0,synthetic_map_00002,69,12,14,0.6925814343432511,0.316510627359604,0.4975285585376626,68
0.0,synthetic_map_00002,68,12,13,0.5214469409616025,0.4565595195616165,0.5527428672771917,67
0.0,synthetic_map_00002,66,12,11,0.6964374024180782,0.33191313813286977,0.40258971813382927,54
0.0,synthetic_map_00002,54,12,10,0.8053852903254543,0.19399156827739283,0.4111971252029235,42
0.0,synthetic_map_00002,40,12,7,0.5749550578442105,0.4229987986536461,0.5983027170852192,39
0.0,synthetic_map_00002,37,12,4,0.731392327433906,0.2715522629554873,0.3476457236612017,25
0.0,synthetic_map_00002,25,12,3,0.7064579506274922,0.2919187594971962,0.43300088738477727,24
0.0,synthetic_map_00002,24,12,2,0.5983062422315863,0.4020908686335781,0.6346930208530769,12
0.0,synthetic_map_00003,116,49,13,0.9333198989755557,0.06814630194696647,0.30215144471662786,115
0.0,synthetic_map_00003,114,49,11,0.9834149820166024,0.0,0.21616974353927615,113
0.0,synthetic_map_00003,112,49,9,0.8148228918631154,0.17326838621143556,0.3714882781118065,111
0.0,synthetic_map_00003,111,49,8,0.7405583189498722,0.2681162194118908,0.4391816224232274,110
0.0,synthetic_map_00003,110,49,7,0.653222330462379,0.33086375534008766,0.42619600816084646,98
0.0,synthetic_map_00003,98,49,6,0.7439955745638922,0.2682836452048927,0.34696143024468135,97
0.0,synthetic_map_00003,97,49,5,0.9366087651609667,0.06328984952196784,0.31680301081134415,85
0.0,synthetic_map_00003,73,49,3,0.7712115578933316,0.2142238094351216,0.4045545855918065,61
0.0,synthetic_map_00004,102,37,11,0.40551292563908437,0.5705196211136039,0.6386709561505054,101
0.0,synthetic_map_00004,88,37,8,0.9054561006230387,0.06481342538537181,0.3501408925813999,87
0.0,synthetic_map_00004,87,37,7,0.9126753623926491,0.08422246704209241,0.2687090951023177,86
